Body_pos_roll, Body_pos_pitch, Body_pos_yaw, Body_vel_roll, Body_vel_pitch, Body_vel_yaw, Body_pos_x, Body_pos_y, Body_pos_z, Body_vel_x, Body_vel_y, Body_vel_z,Body_pos_roll_ref, Body_pos_pitch_ref, Body_pos_yaw_ref, Body_vel_roll_ref, Body_vel_pitch_ref, Body_vel_yaw_refBody_pos_x_ref, Body_pos_y_ref, Body_pos_z_ref, Body_vel_x_ref, Body_vel_y_ref, Body_vel_z_ref, 
0.016267, -0.045027, 0.016267, 0.015827, -0.008813, 0.312428, -0.027503, -0.147947, -0.015895, 0.164262, -0.128869, -0.516888, 0.000000, 0.000000, 0.000000, 0.031400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.014102, -0.044982, 0.014102, 0.017454, -0.010086, 0.307531, -0.447289, 0.191938, -0.065338, 0.159961, -0.124275, -0.453085, 0.000000, 0.000000, 0.000000, 0.033400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.007660, -0.041373, 0.007660, 0.019041, -0.011244, 0.303614, -0.809726, 0.487448, -0.117427, 0.158312, -0.105054, -0.316875, 0.000000, 0.000000, 0.000000, 0.035400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.001334, -0.035855, -0.001334, 0.020603, -0.012187, 0.301443, -0.950978, 0.573654, -0.149757, 0.154146, -0.082990, -0.107098, 0.000000, 0.000000, 0.000000, 0.037400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.010499, -0.030634, -0.010499, 0.022124, -0.012910, 0.301590, -0.856031, 0.447777, -0.164064, 0.149996, -0.061891, 0.138278, 0.000000, 0.000000, 0.000000, 0.039400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.017976, -0.027256, -0.017976, 0.023601, -0.013443, 0.304172, -0.633832, 0.228160, -0.170919, 0.145057, -0.045492, 0.372552, 0.000000, 0.000000, 0.000000, 0.041400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.022993, -0.026122, -0.022993, 0.025019, -0.013839, 0.308909, -0.383392, 0.013834, -0.171967, 0.138233, -0.034671, 0.565373, 0.000000, 0.000000, 0.000000, 0.043400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.025689, -0.026832, -0.025689, 0.026362, -0.014152, 0.315296, -0.176534, -0.132438, -0.167257, 0.130126, -0.028842, 0.701049, 0.000000, 0.000000, 0.000000, 0.045400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.026608, -0.028533, -0.026608, 0.027619, -0.014423, 0.322739, -0.029024, -0.183749, -0.154894, 0.121131, -0.026069, 0.777605, 0.000000, 0.000000, 0.000000, 0.047400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.026332, -0.030311, -0.026332, 0.028786, -0.014677, 0.330664, 0.066834, -0.152604, -0.134513, 0.112578, -0.024880, 0.798567, 0.000000, 0.000000, 0.000000, 0.049400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.025528, -0.031667, -0.025528, 0.029889, -0.014898, 0.338275, 0.096017, -0.129007, -0.105400, 0.106567, -0.014545, 0.676802, 0.000000, 0.000000, 0.000000, 0.051400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.024447, -0.035006, -0.024447, 0.031218, -0.014980, 0.344172, 0.061043, -0.610097, -0.073336, 0.176580, -0.007784, 0.540070, 0.000000, 0.000000, 0.000000, 0.053400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.024707, -0.040853, -0.024707, 0.033075, -0.015094, 0.349473, -0.108954, -0.353730, -0.048960, 0.163815, -0.012551, 0.512909, 0.000000, 0.000000, 0.000000, 0.055400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.026708, -0.042576, -0.026708, 0.034495, -0.015194, 0.354354, -0.293087, -0.137628, -0.019638, 0.141816, -0.007080, 0.468943, 0.000000, 0.000000, 0.000000, 0.057400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
